id,name,isAdmin,logo,banner,description,tagLine,website,domain,followerCount,industry,companySize,headquarters,type,founded,specialties,mainCompanyID,industryCode,salesNavigatorLink,employeesOnLinkedIn,totalEmployeeCount,growth6Mth,growth1Yr,growth2Yr,averageTenure,distributionOperations,distributionOperationsPercentage,distributionEngineering,distributionEngineeringPercentage,distributionMediaAndCommunication,distributionMediaAndCommunicationPercentage,distributionSupport,distributionSupportPercentage,distributionMarketing,distributionMarketingPercentage,distributionInformationTechnology,distributionInformationTechnologyPercentage,distributionHumanResources,distributionHumanResourcesPercentage,distributionSales,distributionSalesPercentage,distributionQualityAssurance,distributionQualityAssurancePercentage,distributionBusinessDevelopment,distributionBusinessDevelopmentPercentage,distributionProductManagement,distributionProductManagementPercentage,distributionResearch,distributionResearchPercentage,distributionPurchasing,distributionPurchasingPercentage,distributionProgramAndProjectManagement,distributionProgramAndProjectManagementPercentage,distributionArtsAndDesign,distributionArtsAndDesignPercentage,distributionAccounting,distributionAccountingPercentage,savedImg,companyUrl,relatedCompanies1,relatedCompanies2,relatedCompanies3,relatedCompanies4,relatedCompanies5,relatedCompanies6,relatedCompanies7,relatedCompanies8,relatedCompanies9,relatedCompanies10,query,timestamp,phone,companyAddress,distributionAdministrative,distributionAdministrativePercentage,distributionMilitaryAndProtectiveServices,distributionMilitaryAndProtectiveServicesPercentage,distributionLegal,distributionLegalPercentage,distributionFinance,distributionFinancePercentage,distributionEducation,distributionEducationPercentage,distributionEntrepreneurship,distributionEntrepreneurshipPercentage,distributionCommunityAndSocialServices,distributionCommunityAndSocialServicesPercentage,distributionConsulting,distributionConsultingPercentage,distributionHealthcareServices,distributionHealthcareServicesPercentage,distributionRealEstate,distributionRealEstatePercentage,isClaimable,relatedCompanies11,relatedCompanies12,relatedCompanies13
152,Konfiture,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQHoRu6E5GKeaw/company-logo_400_400/0/1616603377014?e=1643241600&v=beta&t=DmPp7AFSoz86NLYA2KMHzuCm8PUMHDF3mfGX8C4hhyo,https://media-exp1.licdn.com/dms/image/C561BAQHjEcMRSP53Ow/company-background_10000/0/1616603344373?e=1634965200&v=beta&t=zOqTVpja1h9I_KC1VlON6fDBE_-58ljltU-6e9d4N-w,"Konfiture est une agence créative férue d'identité, de stratégie de marque, de mise en page et de webdesign.\n\nDepuis plus de 10 ans, nous accompagnons les start-ups, entreprises et institutions de notre belle et plate région des Hauts-de-France.\n\nNotre philosophie : Simple & Funky.\nDétendus mais rigoureux, on aime le travail bien fait, avec passion.",Agence créative à vos côtés.,https://www.konfiture.com,https://konfiture.com,1074,Graphic Design,2-10 employees,"Roubaix, -",Partnership,2008,"site web, e-commerce, identité, 3ème degré, and stratégie de marque",5109134,6,https://www.linkedin.com/sales/company/5109134/,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Konfiture.jpeg,https://www.linkedin.com/company/konfiture/,https://www.linkedin.com/company/la-degaine/,https://www.linkedin.com/company/bernard-forever/,https://www.linkedin.com/company/lunarimport/,https://www.linkedin.com/company/la-confection/,https://www.linkedin.com/company/basecreme/,https://www.linkedin.com/company/agence-kaio/,https://www.linkedin.com/company/rapid-flyer/,https://www.linkedin.com/company/snood/,https://www.linkedin.com/company/studio-bam-graphisme/,https://www.linkedin.com/company/cabaia/,https://www.linkedin.com/company/konfiture/,2021-10-22T04:30:23.168Z,320270856,"79 rue du grand chemin, Roubaix, - 59100, FR",,,,,,,,,,,,,,,,,,,,,,,,
153,KONG Bridal chamber 1,FALSE,,,"KONG Bridal chamber 1 is a machinery company based out of BEIJIE, KONGJI TOWN, NINGLING COUNTY, HENAN, Ningling County, China.",,http://zhongguosuli.com,zhongguosuli.com,,Machinery,2-10 employees,,,,,44383787,55,https://www.linkedin.com/sales/company/44383787/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/kong-bridal-chamber-1/,https://www.linkedin.com/company/kong-bridal-chamber-sole-proprietorships/,https://www.linkedin.com/company/designer-bridal-room/,https://www.linkedin.com/company/rami-kadi/,https://www.linkedin.com/company/brin-de-fille/,https://www.linkedin.com/company/brandix-apparel-india-private-limited/,https://www.linkedin.com/company/bradshaw-taylor-ltd-/,https://www.linkedin.com/company/brakeburn/,https://www.linkedin.com/company/brand-foliollc/,https://www.linkedin.com/company/brixton-capital-ltd/,https://www.linkedin.com/company/brands4kids-a-s/,https://www.linkedin.com/company/kong-bridal-chamber-1/,2021-10-22T04:30:29.168Z,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
154,koosh,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQF8drcitHli2g/company-logo_400_400/0/1576241077338?e=1643241600&v=beta&t=yiNcZGKToh1T58h-mVTxDaqgPTdDiKbzyKBZpvgGMRQ,https://media-exp1.licdn.com/dms/image/C561BAQGPQSr_ZIWxHA/company-background_10000/0/1576241728202?e=1634965200&v=beta&t=LsCECQa84BmMRD2ywqUg5gdTnAFWFTq3soc5ysJEBCU,,tout beau. tout propre. tout simplement.,https://koosh.co/fr_FR/,https://koosh.co/fr_FR,65,Cosmetics,2-10 employees,,Partnership,,,34682702,18,https://www.linkedin.com/sales/company/34682702/,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/koosh.jpeg,https://www.linkedin.com/company/koosh-co/,https://www.linkedin.com/company/jimmyfairly-com/,https://www.linkedin.com/company/chefclub/,https://www.linkedin.com/company/tediber/,https://www.linkedin.com/company/merci-handy/,https://www.linkedin.com/company/bergamotte/,https://www.linkedin.com/company/joone/,https://www.linkedin.com/company/little-big-change/,https://www.linkedin.com/company/lespetitsbidons/,https://www.linkedin.com/company/leslipfrancais/,https://www.linkedin.com/company/weemai/,https://www.linkedin.com/company/koosh-co/,2021-10-22T04:30:35.923Z,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Korona Candles / Private Label Manufacturing,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQE7agBNL9SLwg/company-logo_400_400/0/1561147695822?e=1643241600&v=beta&t=buww_wEfw-VUHqr7yiqZoRiIluXz5lJStzguZf_82oY,https://media-exp1.licdn.com/dms/image/C4D1BAQEwMl7VAVSt8g/company-background_10000/0/1578084876888?e=1634965200&v=beta&t=020vECK5BjDizIfo0Gi1MveKL9LpxnrW3gRbHr_IoY0,"Building the World’s Largest (Private Label) Fragrance Company\n\nWhen Korona Candles S.A/ Poland first opened its doors in 1992, the mission was to be Europe’s top candle manufacturer. Mission accomplished, production began in the USA in 2014 at Korona Candles Inc./ Dublin, Virginia. But the excitement really began in April of 2018, as Korona Candles joined a larger organization—The Gala Candles Group—to become part of the World’s Largest Fragrance Décor Company. \n\nBut being the leader in fragranced décor is just a start. We want to be a leader in other areas too. So at Korona we are always challenging ourselves to deliver fragrance innovation via improved standards in quality, performance, sustainability and with product inspiration for companies you know, love, and shop every day—but because we are private label, you won’t know their name unless you work here.\n\nToday, working with Korona Candles means you are connected with more than 4,750 global employees in locations including: Poland, Hungary, India, Germany, and the USA. We deliver candles, wax melts, essential oils reed diffusers and fragranced décor to companies you know, love, and shop every day—but because we are private label, you won’t know their names unless you work here.\n\nWant to “smell” your world differently? Join our growing team – it’s clean manufacturing that smells good too.",,http://www.korona.info,korona.info,893,Consumer Goods,"1,001-5,000 employees","Wieluń, Lodz",Privately Held,1992,"Private Label, Wax Melts, Candles, tea lights, decor, essential oils, reed diffusers, manufacturing, and fragrance",15077248,25,https://www.linkedin.com/sales/company/15077248/,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Korona Candles / Private Label Manufacturing.jpeg,https://www.linkedin.com/company/korona-candles-s.a./,https://www.linkedin.com/company/koronacandles/,https://www.linkedin.com/company/gala-group-gmbh/,https://www.linkedin.com/company/ggbrands/,https://www.linkedin.com/company/elfa-pharm-produkcja-kosmetyk%C3%B3w/,https://www.linkedin.com/company/gala-kerzen/,https://www.linkedin.com/company/wielton-sa/,https://www.linkedin.com/company/korona-invest/,https://www.linkedin.com/company/patrol-group-sp.-z-o.o.-s.k.a./,https://www.linkedin.com/company/ramesh-flowers-p-ltd./,https://www.linkedin.com/company/my-jolie-candle/,https://www.linkedin.com/company/korona-candles-s.a./,2021-10-22T04:30:42.439Z,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Korona Invest,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQGoKgvcGVOJSA/company-logo_400_400/0/1519863571369?e=1643241600&v=beta&t=zOyas6OAoBvS2rNUietcZzZzu_eQaj5jWum2JEr9Jkg,https://media-exp1.licdn.com/dms/image/C561BAQEKwwcGkFmzQg/company-background_10000/0/1583397224390?e=1634965200&v=beta&t=MplIuxVuah5v-luzxSLqo_HdlCxwZEtDEprT44_mD5M,"Korona Invest is a Finnish private equity firm specialized in growth and buyout investments in Finnish small and medium sized enterprises. Since its founding in 2006, Korona has raised three funds, Terveysrahasto Oy (Fund I), Palvelurahasto I Ky (Fund II) and Korona Fund III Ky (Fund III), with a total raised capital of over EUR 150 million. \n\nKorona Invest’s goal is to secure sustainable growth in all investments together with the executive management. Our investment strategy and approach seeks to produce profitable growth and long-term success.\n\nKorona Invest’s team has been successful in growing a number of companies which represent the best practices in their industry. In addition to building market leading companies, we have know-how and experience of spin-offs, ownership changes, and managing challenging change and development programs.\n\nRegardless of the industry, Korona Invest can invest in companies with the ability and urge to grow. Korona Invest has a strong track record that includes many industries e.g. Business Services, Circular Economy, Educational Services, Housing Services, Daycare and Health and Social Service sectors.",,http://www.koronainvest.fi/,koronainvest.fi,532,Venture Capital & Private Equity,2-10 employees,"Helsinki, Southern Finland",Partnership,2006,,10340824,106,https://www.linkedin.com/sales/company/10340824/,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Korona Invest.jpeg,https://www.linkedin.com/company/korona-invest/,https://www.linkedin.com/company/intera-partners/,https://www.linkedin.com/company/voima-ventures/,https://www.linkedin.com/company/vaaka-partners/,https://www.linkedin.com/company/innovestor/,https://www.linkedin.com/company/sievi-capital-oyj/,https://www.linkedin.com/company/pikespo-invest-oy-ltd/,https://www.linkedin.com/company/wave-ventures/,https://www.linkedin.com/company/sponsorcapital/,https://www.linkedin.com/company/finnish-industry-investment-ltd/,https://www.linkedin.com/company/butterfly-ventures/,https://www.linkedin.com/company/korona-invest/,2021-10-22T04:30:49.339Z,,"Mikonkatu 6 C, Helsinki, Southern Finland 00100, FI",,,,,,,,,,,,,,,,,,,,,,,,
157,Korona SA,FALSE,,,,,http://www.korona.info,korona.info,78,Chemicals,11-50 employees,,,,,6116655,54,https://www.linkedin.com/sales/company/6116655/,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/korona-sa/,https://www.linkedin.com/company/koronacandles/,https://www.linkedin.com/company/lexmotion.eu/,https://www.linkedin.com/company/polonezparcelservice/,https://www.linkedin.com/company/korona-candles-s.a./,https://www.linkedin.com/company/warsawinstitute/,https://www.linkedin.com/company/freeport-metrics-inc./,https://www.linkedin.com/company/press-glass-inc/,https://www.linkedin.com/company/krosno-glass-sp.-z-o.o./,https://www.linkedin.com/company/all-clad-metalcrafters/,https://www.linkedin.com/company/bandi-cosmetics-sp.-z-o.o./,https://www.linkedin.com/company/korona-sa/,2021-10-22T04:30:54.925Z,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
158,Gala Poland sp. z o.o.,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQEM94zmnll0Vg/company-logo_400_400/0/1615554199187?e=1643241600&v=beta&t=GGpy1Qd-z7LBAd3wCbrpbm9Gqgdgbdo0HfI6ODRBBSo,https://media-exp1.licdn.com/dms/image/C4E1BAQGLh4mDmoaOjg/company-background_10000/0/1614692542928?e=1634965200&v=beta&t=Dm8N5pJPPhZyvqoaX0XLUS4amYEUtVc8YLmGXe-ogsE,"KORONA Candles Sp. z o.o. to nie tylko jeden z największych producentów świec na świecie. To przede wszystkim ludzie z pasją, posiadający wiedzę i doświadczenie umożliwiające im oraz firmie ciągły rozwój. \nW 2018 roku staliśmy się członkiem międzynarodowej grupy Gala Candles Group, która posiada swoje fabryki w Europie, Azji i Stanach Zjednoczonych. \nNaszymi klientami są największe sieci handlowe na świecie.\n\nPraca z nami to rozwój w międzynarodowym środowisku, kontakty z przedstawicielami najbardziej znaczących kanałów dystrybucji na świecie. Cenimy indywidualność, optymizm, samodzielność, pasję do poszukiwania nowych rozwiązań.\n","„Zawsze wydaje się, że coś jest niemożliwe, dopóki nie zostanie to zrobione.\nNelson Mandela\n",http://www.korona.info/kariera/index.php,korona.info/kariera/index.php,194,Consumer Goods,"501-1,000 employees","Wieluń, Łódzkie",Privately Held,1992,Produkcja świec,20141124,25,https://www.linkedin.com/sales/company/20141124/,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Gala Poland sp. z o.o..jpeg,https://www.linkedin.com/company/koronacandles/,https://www.linkedin.com/company/korona-candles-s.a./,https://www.linkedin.com/company/wielton-sa/,https://www.linkedin.com/company/patrol-group-sp.-z-o.o.-s.k.a./,https://www.linkedin.com/company/ggbrands/,https://www.linkedin.com/company/gala-group-gmbh/,https://www.linkedin.com/company/korona-sa/,https://www.linkedin.com/company/gigrouppolska/,https://www.linkedin.com/company/ramesh-flowers-p-ltd./,https://www.linkedin.com/company/neapco-europe/,https://www.linkedin.com/company/wr%C3%B3bel-andrzej-adwokat.-kancelaria/,https://www.linkedin.com/company/koronacandles/,2021-10-22T04:31:02.869Z,+48 668 164 572,"ul. Fabryczna 10, Wieluń, Łódzkie 98-300, PL",,,,,,,,,,,,,,,,,,,,,,,,
159,KRBO,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGgfcXTmY9byg/company-logo_400_400/0/1611570265715?e=1643241600&v=beta&t=yyImyGOHEVztrPvUWlBrAp4X81AzmmwzJPQZqIALhu4,https://media-exp1.licdn.com/dms/image/C561BAQHotgweTdpJfg/company-background_10000/0/1608655010168?e=1634965200&v=beta&t=72F2YhEIEw-CmGTlomT5TgfAFaEOJjXHw5BIM9d2xWg,..........................................................................................................................................................................................................................................................,,http://www.krbo.com,krbo.com,1102,Marketing & Advertising,11-50 employees,"Lille, Hauts-de-France",Public Company,1986,"COMMUNICATION, SOCIAL MEDIA, MARKETING, STRATEGIE DE MARQUE, PUBLICITÉ, PLATEFORME DE MARQUE, and MARKETING DIRECT",1349974,80,https://www.linkedin.com/sales/company/1349974/,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/KRBO.jpeg,https://www.linkedin.com/company/krbo/,https://www.linkedin.com/company/netco-group/,https://www.linkedin.com/company/ores-group/,https://www.linkedin.com/company/nicetomeetyou/,https://www.linkedin.com/company/agence-tribu/,https://www.linkedin.com/company/les-enchanteurs/,https://www.linkedin.com/company/experience-garage/,https://www.linkedin.com/company/op1c/,https://www.linkedin.com/company/keblow/,https://www.linkedin.com/company/nikita-impact-makers/,https://www.linkedin.com/company/la-degaine/,https://www.linkedin.com/company/krbo/,2021-10-22T04:31:09.190Z,06 31 38 77 05,"34, Boulevard Carnot, Lille, Hauts-de-France 59800, FR",,,,,,,,,,,,,,,,,,,,,,,,
160,KRUG Champagne,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQF6-bHW4I6-sQ/company-logo_400_400/0/1524837045783?e=1643241600&v=beta&t=cWax5t8NO0jSKWWg6Kx-uLiz9xKp1jIK6TF3-M16vWw,https://media-exp1.licdn.com/dms/image/C4D1BAQEk_QOhCSsd_g/company-background_10000/0/1610552280583?e=1634965200&v=beta&t=g31q_AomnFjBfS30mKy_3pqfu3uTTzOBOnyF54XkgYw,"Krug has always lived up to its reputation as the first and still the only Champagne House to create exclusively prestige Champagnes every year since its foundation.\n\nThe House was established in Reims in 1843, by Joseph Krug, a visionary non-conformist with an uncompromising philosophy. Having understood that the true essence of Champagne is pleasure itself, his dream was to offer the very best Champagne every single year, regardless of annual climate variations. Paying close attention to the vineyard’s character, respecting the individuality of each plot and its wine, as well as building an extensive library of reserve wines from many different years allowed Joseph Krug to fulfil his dream.\n\nWith a very original approach to Champagne making, he decided to go beyond the notion of vintage to create the fullest expression of Champagne, every year. Thus, he founded a House in which all Champagnes are of the same level of distinction.\n\nSix generations of the Krug family have perpetuated this dream, enriching the founder’s vision and savoir faire. Today, Krug is one of the 25 unique Houses that form Moët Hennessy, the wines and spirits division of LVMH.\n\nThe House of Krug gives time to the unforgettable: with a spirit that is different but always refined, it accepts no compromise on craftsmanship, goes beyond perfection in the pursuit of pleasure and fosters a strong connection with its international community of Krug Lovers.\n\nRead our T&Cs and Privacy Policy here : http://bit.ly/2NDGyGk",,https://www.krug.com,https://krug.com,24666,Wine & Spirits,51-200 employees,"Reims, Grand Est",Privately Held,,Champagne and Cuvées de Prestige,5289144,142,https://www.linkedin.com/sales/company/5289144/,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/KRUG Champagne.jpeg,https://www.linkedin.com/company/krug-champagne/,https://www.linkedin.com/company/veuve-clicquot/,https://www.linkedin.com/company/ruinart/,https://www.linkedin.com/company/moet-&-chandon/,https://www.linkedin.com/company/champagne-louis-roederer/,https://www.linkedin.com/company/moethennessy/,https://www.linkedin.com/company/champagne-taittinger/,https://www.linkedin.com/company/lvmh/,https://www.linkedin.com/company/champagne-bollinger/,https://www.linkedin.com/company/champagne-laurent-perrier/,https://www.linkedin.com/company/martell-mumm-perrier-jouet/,https://www.linkedin.com/company/krug-champagne/,2021-10-22T04:31:15.534Z,,"5, Rue Coquebert, Reims, Grand Est 51100, FR",,,,,,,,,,,,,,,,,,,,,,,,
161,K unique - Agence de communication,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQGwsUqKngdkgQ/company-logo_400_400/0/1519876510610?e=1643241600&v=beta&t=-gYuphWLrqezy1Ginj0O-PQxWzjZioRqSLi9t67YMz8,https://media-exp1.licdn.com/dms/image/C4D1BAQFqUNYC32yKcw/company-background_10000/0/1604052836935?e=1634965200&v=beta&t=6NLVur3EIUr5dxeLVS9HGpjunXL60A-doHscwQuOGJc,"- Chez K unique, le mot « agence de communication » a un sens tout particulier\n\n - Quand on nous demande ce que l’on fait dans la vie, on répond que l’on travaille dans une agence de communication. Mais en fait, on se dit que le mot n’est pas assez complet. Chez K unique, on ne vous dira pas « Vous avez raison » pour vous faire plaisir ou « Vous devriez faire ça » pour gagner le budget. On vous dira les choses simplement et humainement. On mettra toujours du sens dans nos conseils, toujours du sens dans nos idées, toujours du sens dans nos créations graphiques. Faire du beau, juste pour se faire plaisir est réservé aux artistes. Chez K unique, nous ne sommes pas que des artistes. Nous sommes des professionnels de la communication visuelle. C’est différent. Tout ce que nous faisons a pour seul objectif de vous amener là vous vous souhaitez aller, là où vous devez être.",Toujours surprendre !,http://www.k-unique.com/,k-unique.com,623,Marketing & Advertising,2-10 employees,"Quimper, Bretagne",Sole Proprietorship,2000,,11089792,80,https://www.linkedin.com/sales/company/11089792/,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/K unique - Agence de communication.jpeg,https://www.linkedin.com/company/kunique/,https://www.linkedin.com/company/tikio/,https://www.linkedin.com/company/loisirs-pluriel/,https://www.linkedin.com/company/as-des-ligneurs-de-la-pointe-de-bretagne/,https://www.linkedin.com/company/agence-r/,https://www.linkedin.com/company/imagraph/,https://www.linkedin.com/company/agence-de-communication-terre-en-vue/,https://www.linkedin.com/company/doublev%C3%A9/,https://www.linkedin.com/company/monsieur-media/,https://www.linkedin.com/company/arome-agence-de-communication/,https://www.linkedin.com/company/weplus-agence-coop%C3%A9rative-publicitaire/,https://www.linkedin.com/company/kunique/,2021-10-22T04:31:22.346Z,02 98 10 02 10,,,,,,,,,,,,,,,,,,,,,,,,,
162,Kymono,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQGbp8F0hO-1pw/company-logo_400_400/0/1519895458967?e=1643241600&v=beta&t=SYdsFhLtIufsyX64MaHYPkD6hTVX1nfEOGVZzHvophw,https://media-exp1.licdn.com/dms/image/C4D1BAQHkoBOhKBBipw/company-background_10000/0/1612868734304?e=1634965200&v=beta&t=BsdCEus0xuP_aoZ4M6NtKRnNpfhzKv_LD3unUofXDD8,"CUSTOMIZED CLOTHES SHOULDN'T BE CRAP.\n\nWe're talking about style, babe. \nKYMONO clothes have just the best quality you can find.\nWe chose every single details carefully: material, cuts, colours, bouton & zippers.\nYou'll never stop wearing your own new style.\n\nSHARE YOUR COLOURS & BUILD YOUR CULT!\n\nYou may be at a café or in the bus, you're always on a mission.\nIt's not advertising, it's expression.\nYou don't sell your product, you share your values. \nYour startup is precious so our service is perfect.\n\nWHAT YOU WEAR IS WHAT YOU ARE.\n\nYou care of the environment? So does KYMONO.\nWanna make sure people involved are well treated? So does KYMONO.\nOrganic, sustainable and respectful of the highest ethics of production,\nyour clothes must be good.\n\nKYMONO GOES ALL IN :\n\n--​> MASTERS OF TEXTILE PRINTING\nKYMONO is the union of a long time textile corporation & TheFamily. We're a team of people who care for both startups and fashion. \n\n--​> WE HAVE OUR OWN FACTORY\nWe design and print in one place. We master the supply chain quickly: from ordering to delivery, from your ideas to its execution.\n\n--​> A WIDE RANGE OF PRODUCTS\nBecause we love fashion, everything is there, cuts, colors and quality that you can personalize with your unique design, logo and colors. Ask our catalogue and you'll get it right away ;)\n\n--​> ETHICS & 100% ORGANIC \nPrinting and stitching all take place in France. Each article is of premium quality, 100% organic, sustainable and respectful of the highest ethics of production for people and the environment.\n\nBased in Paris, London & Berlin.\nDeliver worldwide.\n\nwww.kymono.co",WE ARE CULTURE DESIGNERS.\nWe bring your corporate culture to life through high quality customized products & services.,https://www.kymono.co/,https://kymono.co,6244,Apparel & Fashion,11-50 employees,"Paris, Île-de-France",Partnership,2017,"Customised textile, Outfits, Culture design, Startup lifestyle, and Startup outfits",11152579,19,https://www.linkedin.com/sales/company/11152579/,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Kymono.jpeg,https://www.linkedin.com/company/kymono/,https://www.linkedin.com/company/kermessco/,https://www.linkedin.com/company/tatamibythefamily/,https://www.linkedin.com/company/enky/,https://www.linkedin.com/company/mooti-savoir-faire/,https://www.linkedin.com/company/k%C3%B6m/,https://www.linkedin.com/company/kapsul-sas/,https://www.linkedin.com/company/wakatepe-events/,https://www.linkedin.com/company/finaryhq/,https://www.linkedin.com/company/payfit/,https://www.linkedin.com/company/payplug/,https://www.linkedin.com/company/kymono/,2021-10-22T04:31:28.715Z,,"8, Rue Danielle Casanova, Paris, Île-de-France 75001, FR",,,,,,,,,,,,,,,,,,,,,,,,
163,L’OCCITANE Group,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQEqJ_cuSCQPQA/company-logo_400_400/0/1537887281111?e=1643241600&v=beta&t=E_EFNm_BXErwktzfoY8-t9KKPA9kwYG6xS8ntUoDffw,https://media-exp1.licdn.com/dms/image/C4E1BAQHMFY0IxeMWeA/company-background_10000/0/1519799880592?e=1634965200&v=beta&t=tmxHXn1a7lx10FHkmafyR0f1oGlLTNEsQHpAutclUdw,"L'OCCITANE en Provence - Melvita - Erborian - L'OCCITANE au Brésil - LimeLife by Alcone\n\nThe L'OCCITANE Group is a natural cosmetics and well-being products manufacturer and retailer that creates and develops brands that offer new and extraordinary beauty experiences. We are an international group with 5 leading brands that are present in more than 90 countries. Our ambition is to be the market leader for natural cosmetics.\n\nOur brands use the best ingredients and combine these with innovative extraction processes and traditional knowledge to leverage the power of nature. Thanks to our R&D teams and laboratories in the south of France, Brazil and Korea, we create formulae and products that exceed expectations and set new industry standards. These include more than 50 product patents. Our global network of more than 3,000 retail outlets includes over 1,500 of our own boutiques. Our omni-channel and customer-centric retail strategy provides customers with an integrated shopping experience, allowing them to engage with our brands across multiple channels whilst ensuring consistent quality and service.\n\nActing responsibly and sustainably has been at the heart of our business since the brand L'OCCITANE en Provence was created in 1976. Today, respecting the environment, developing employees and supporting community development projects continue to be a priority. The L'OCCITANE Foundation was founded in 2006 and focuses on preventing avoidable blindness, empowering women and preserving natural heritage.\n\nBut none of the above would be possible without our people. We develop talented and international teams who are passionate about the group's values.\n\nWould you like to be a part of this? Find out more about working for the Group, our values and current opportunities on the L'OCCITANE Group website.","Create together unique beauty experiences that are inspired by the richness of nature, traditions and local skills.",http://group.loccitane.com,group.loccitane.com,369252,Cosmetics,"5,001-10,000 employees","Plan-les-Ouates, Geneva",Public Company,1976,"Beauty, Retail, and Cosmetics",164659,18,https://www.linkedin.com/sales/company/164659/,4490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/LOCCITANE Group.jpeg,https://www.linkedin.com/company/l-occitane-group/,https://www.linkedin.com/company/lor%C3%A9al/,https://www.linkedin.com/company/the-estee-lauder-companies-inc/,https://www.linkedin.com/company/clarins/,https://www.linkedin.com/company/caudalie/,https://www.linkedin.com/company/sephora/,https://www.linkedin.com/company/nuxe/,https://www.linkedin.com/company/coty/,https://www.linkedin.com/company/shiseido/,https://www.linkedin.com/company/chanel/,https://www.linkedin.com/company/parfums-christian-dior/,https://www.linkedin.com/company/l-occitane-group/,2021-10-22T04:31:35.389Z,,"Chemin du Pré-Fleuri 3, CP 165, Plan-les-Ouates, Geneva 1228, CH",,,,,,,,,,,,,,,,,,,,,,,,
